"#","Reference","Qty","Value","Footprint","DNP"
"1","B1, B2, B3, B6","4","0R","Resistor_SMD:R_2512_6332Metric",""
"2","B4, B5, B7","3","0R","Resistor_SMD:R_1206_3216Metric",""
"3","C1, C5, C6","3","1uF","Capacitor_SMD:C_0805_2012Metric",""
"4","C2, C8, C9, C10, C11, C12, C13, C16","8","0.1uF","Capacitor_SMD:C_0805_2012Metric",""
"5","C3, C7, C15","3","10uF","Capacitor_SMD:C_0805_2012Metric",""
"6","D1","1","WS2812B 2020 Flipped","bier:ws2812B_2020_flipped",""
"7","D2, D3, D4, D5","4","WS2812B","LED_SMD:LED_WS2812B-2020_PLCC4_2.0x2.0mm",""
"8","D6","1","150060GS73220","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",""
"9","D7","1","150060BS73220","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",""
"10","J1, J2, J3, J4, J5, J6, J7","7","S70-332002045R","bier:pogo_receptor",""
"11","L1","1","2.2µH","Resistor_SMD:R_0805_2012Metric",""
"12","R1","1","62k","Resistor_SMD:R_0805_2012Metric",""
"13","R2","1","5k","Resistor_SMD:R_0805_2012Metric",""
"14","R3, R7, R9, R11, R12, R13, R14","7","10k","Resistor_SMD:R_0805_2012Metric",""
"15","R4, R10","2","350","Resistor_SMD:R_0805_2012Metric",""
"16","R5","1","600","Resistor_SMD:R_0805_2012Metric",""
"17","R6","1","27k4","Resistor_SMD:R_0805_2012Metric",""
"18","SW1","1","Address Coding","Package_DIP:DIP-10_W8.89mm_SMDSocket_LongPads",""
"19","SW2","1","PTS526 SK15 SMTR2 LFS","Button_Switch_SMD:SW_Push_1P1T_XKB_TS-1187A",""
"20","TP1, TP2, TP3, TP4, TP5, TP6, TP7","7","TestPoint","TestPoint:TestPoint_Pad_D3.0mm",""
"21","U1","1","TPS61201DRC","Package_SON:Texas_S-PVSON-N10_ThermalVias",""
"22","U2","1","ESP32-C3-WROOM-02","PCM_Espressif:ESP32-C3-WROOM-02",""
"23","U3","1","ATtiny84A-SS","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
"24","U4","1","BQ25176J","bier:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias",""
"25","U5","1","TLV9101IDBVR","Snapeda:DBV0005A_TEX",""
